Population,Responders_n,Non-Responders_n,Responders_mean,Responders_std,Non-Responders_mean,Non-Responders_std,T_statistic,T-test_pvalue,Mann-Whitney_pvalue,Cohens_d,Rank_biserial,Mann-Whitney_pvalue_FDR,Significant_MW_raw_0.05,Significant_MW_raw_0.01,Significant_MW_FDR_0.05,Significant_t_raw_0.05,Significant_t_raw_0.01
b_cell,993,975,9.797452165156091,3.3226391166623017,9.99622564102564,3.117839625863837,-1.3688044917827515,0.17121708930833965,0.05574771201656558,-0.0616771845520538,0.049809177059932375,0.13936928004141394,No,No,No,No,No
cd4_t_cell,993,975,30.537794561933534,5.207477106295463,29.90236923076923,4.824045971483541,2.80883788242626,0.005021385121096387,0.013406531835818084,0.12654905933032087,-0.06438402148371947,0.06703265917909042,Yes,No,No,Yes,Yes
cd8_t_cell,993,975,24.881762336354484,4.9144178945065455,24.943979487179483,4.417014768562348,-0.2954957919068363,0.7676466129338623,0.639199092320909,-0.01330958246206136,0.012207503808712272,0.639199092320909,No,No,No,No,No
monocyte,993,975,19.941701913393757,4.642376318962225,20.084256410256412,4.010793732079849,-0.7293481734850874,0.4658769948663676,0.1635092173658036,-0.03283926609047726,0.03627959821313298,0.2043865217072545,No,No,No,No,No
nk_cell,993,975,14.8409667673716,4.132101105768062,15.073035897435897,3.767384183622071,-1.3023678159814867,0.19294405855719682,0.12106000597478862,-0.058668241811732635,0.04036666924884447,0.2017666766246477,No,No,No,No,No
